o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set[o:id],o:item_set[dcterms:title],o:media[o:id],o:media[file],dcterms:title,dcterms:creator,dcterms:subject,dcterms:description,dcterms:publisher,dcterms:date,dcterms:type,dcterms:format,dcterms:identifier,dcterms:source,dcterms:language,dcterms:relation,dcterms:coverage,dcterms:alternative,dcterms:created,dcterms:available,dcterms:issued,dcterms:modified,dcterms:medium,dcterms:isPartOf,dcterms:hasPart,dcterms:isFormatOf,dcterms:spatial,dcterms:temporal,dcterms:bibliographicCitation,dcterms:provenance,bibo:annotates,bibo:owner,bibo:content,bibo:locator,bibo:numPages,bibo:number,bibo:pages,bibo:section,bibo:uri,bibo:volume,oc:location,oc:localUrl,oc:eventType,mads:birthPlace,mads:deathPlace,mads:fieldOfActivity,mads:fullerName,mads:hasDemonym,mads:hasRelatedAuthority,mads:hasVariant,mads:occupation,mads:useFor,mads:birthDate,mads:deathDate,mads:entityDescriptor,mads:honoraryTitle,skos:hasTopConcept,skos:prefLabel,skos:altLabel,skos:note,skos:definition,curation:location,curation:note,curation:status
35076,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/35076,Fotografía,dctype:StillImage,,True,6;24487,Congresos Nacionales de Historia,35085,,[Décimo Congreso Nacional de Historia],,"Leiva, Elio;Mesa Rodríguez, Manuel Isaías (1894-1968);Martínez Fortún y Foyo, José Andrés (1882-1960);Guiral Moreno, Mario (1882-1963);Gay Calbó, Enrique (1889-1977);Guerrero, Ricardo Luis;Roig de Leuchsenring, Emilio (1889-1964);Varona Guerrero, Miguel (1895);Meneses del Carpio, Laura (1894-1973);Ciudad de Matanzas;Matanzas;Cuba;Instituto de Segunda Enseñanza de Matanzas;Sociedad Cubana de Estudios Históricos e Internacionales;Oficina del Historiador de la Ciudad de La Habana;Historia;Historiadores;Congreso",,,1952-nov.-14/17,,"Original;Plata/Gelatina;Papel;Gelatina;19,6 x 11,8 cm;B/N;Horizontal",,,,,,,,,,,,,,,La Habana;Matanzas,,,,,,,,,,,,ohcfh_erl_000000523.jpg,,FFS/ERL/C-11.1/11.1.6/11.1.6.4,,,,,,,,,,,,,,,,,,,,,,,
41159,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/41159,Grabado,dctype:Image,grisel@patrimonio.ohc.cu,True,24483,Grabados Europeos,41179,,"Un paisaje a la orilla del mar con la historia de Carlo y Ubaldo de embarcarse en la búsqueda de Rinaldo. Tasso, XV, No168 de Liber Veritatis","Earlom, Richard;Lorena, Claudio de","Earlom, Richard;Lorena, Claudio de;Mitología;Paisaje","Estampa perteneciente a la Colección de 200 grabados de El libro de la verdad, publicado el 3 de diciembre de 1776 por John Boydell, Londres. Inglaterra. El aguafuerte es a partir del dibujo de Claudio de Lorena, (cuyo nombre real era Claude Gelée). Su pintura fue grabada con maestría por Richard Earlom. Paisaje con tema mitológico literario, se aprecia abundante vegetación, el mar o una laguna con embarcaciones, en la orilla un bote con cabeza de dragón tallado en la proa en su interior una mujer con los brazos abierto, dos hombres con armadura aguardan en la orilla.;Grabado",,1776,,"L:22.5cm x A: 28.7 cm, Papel;Impresa",,,,,,,,,,,,,,,,,,,,,,,,,,,ohcah_cgeu_000010234.jpg,,Colección de Grabados. Serie Europa;Planero 3C,,,,,,,,,,,,,,,,,,,,,,,
39601,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/39601,Fotografía,dctype:StillImage,laurav@patrimonio.ohc.cu,False,39429;39430,Fotos de Arquitectura;Arquitectura Industrial,39621,,[Maquinarias industriales. Pailas de procesamiento],,Cuba;Industria;Maquinarias;Local;Piso,"Vista de maquinarias de una Industria, al parecer son Pailas de procesamiento",,,,B/N;Horizontal,(Solo digital),,,,,,,,,,,,,,,,,,,,,,,,,,ohcfh_cfs_000001134.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
39602,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/39602,Fotografía,dctype:StillImage,laurav@patrimonio.ohc.cu,False,39429;39430,Fotos de Arquitectura;Arquitectura Industrial,39622,,[Baile en el salón de ensueño],,Cuba;La Habana;Salón de baile;Hombres;Vestuarios;Accesorios;Decoración;Pavimento;Árboles,"Vista del Salón Ensueño en los jardines de la Tropical en La Habana, inaugurado en 1904, fueron durante muchos años uno de los espacios ajardinados más importantes de la ciudad. Los Jardines de la Tropical fueron inaugurados con tres salones: el Salón Ensueño, el salón Mamoncillo y el Salón La Cúpula",,,,B/N;Horizontal,(Solo digital),,,,,,,,,,,,,,,,,,,,,,,,,,ohcfh_cfs_000001187.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
39603,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/39603,Fotografía,dctype:StillImage,laurav@patrimonio.ohc.cu,False,39429;39430,Fotos de Arquitectura;Arquitectura Industrial,39623,,"[Cerveza la Tropical, barra de venta]",,Cuba;La Habana;Barra de Venta;Mujeres;Vestuarios;Accesorios;Hombres;Edificación;Árboles Ornamentales,La foto tiene en parte inferior del anverso una descripción;Vistosa barra de venta de cerveza anexada al salón de la Tropical,,,,B/N;Horizontal,(Solo digital),,,,,,,,,,,,,,,,,,,,,,,,,,ohcfh_cfs_000001188.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
39604,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/39604,Fotografía,dctype:StillImage,laurav@patrimonio.ohc.cu,False,39429;39430,Fotos de Arquitectura;Arquitectura Industrial,39624,,[Salón Mamoncillo],,Cuba;La Habana;Salón de baile;Fachada Principal;Decoración;Accesorios,La foto tiene en parte inferior del anverso una descripción;Fachada Principal de la Capilla Modernista del Salón Mamoncillo en los jardines de la Tropical,,,,B/N;Horizontal,(Solo digital),,,,,,,,,,,,,,,,,,,,,,,,,,ohcfh_cfs_000001189.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
39605,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/39605,Fotografía,dctype:StillImage,laurav@patrimonio.ohc.cu,False,39429;39430,Fotos de Arquitectura;Arquitectura Industrial,39625,,[Fotografía con imagen de Mujer Promocionando la cerveza Cristal],,Cuba;La Habana;Mujer;Accesorios;Copa;Botella;Propaganda;Cerveza Cristal,Imagen de Mujer haciendo propaganda a la Cerveza Cristal,,,,B/N;Vertical,(Solo digital),,,,,,,,,,,,,,,,,,,,,,,,,,ohcfh_cfs_000001059.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
39606,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/39606,Fotografía,dctype:StillImage,laurav@patrimonio.ohc.cu,False,39429;39430,Fotos de Arquitectura;Arquitectura Industrial,39626,,[Oficinas de la Cervecería La Tropical],,Cuba;La Habana;Marianao;Edificación;Fachada Principal;Rejas;Tendido Eléctrico,"La foto tiene en la parte inferior del anverso la descripción;Vista Parcial del moderno edificio donde están las oficinas de la Cervecería La Tropical en la Calzada Columbia, en Marianao",,,,B/N;Horizontal,(Solo digital),,,,,,,,,,,,,,,,,,,,,,,,,,ohcfh_cfs_000001047.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
39607,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/39607,Fotografía,dctype:StillImage,laurav@patrimonio.ohc.cu,False,39429;39430,Fotos de Arquitectura;Arquitectura Industrial,39627,,"[Don Julio Blanco Herrera, Presidente de la Cervecería ¨La Tropical¨]",,Cuba;La Habana;Hombre;Espejuelos;Traje,"La foto tiene en la parte inferior del anverso la descripción;Don Julio Blanco Herrera, Presidente de la Cervecería La Tropical y máximo animador de esta poderosa industria Cubana",,,,B/N;Vertical,(Solo digital),,,,,,,,,,,,,,,,,,,,,,,,,,ohcfh_cfs_000001048.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
39608,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/39608,Fotografía,dctype:StillImage,laurav@patrimonio.ohc.cu,False,39429;39430,Fotos de Arquitectura;Arquitectura Industrial,39628,,[Fotografía aérea de la vasta zona que ocupa la gran Industria Cervecera ¨La Tropical],,Cuba;La Habana;Marianao;Industria Cervecera;Fábrica;Edificaciones;Naves;Almacenes;Stadium;Calles;Calzada,"La foto tiene en la parte inferior del anverso la descripción;Esta fotografia aérea abarca panorámicamente la vasta zona que ocupaba la gran industria Cervecera, aparece la fábrica con las diversas naves y almacenes, al centro el hermoso Stadium, detrás bordeando la calzada de Columbia, el nuevo edificio de oficinas",,,,B/N;Horizontal,(Solo digital),,,,,,,,,,,,,,,,,,,,,,,,,,ohcfh_cfs_000001049.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
39609,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/39609,Fotografía,dctype:StillImage,laurav@patrimonio.ohc.cu,False,39429;39430,Fotos de Arquitectura;Arquitectura Industrial,39629,,Local Modestísimo de comienzo en 1888 de  ¨La Tropical¨],,Cuba;La Habana;Industria Cervecera;Fábrica;Local;Techo de guano,La foto tiene en la parte inferior del anverso la descripción;La Tropical conserva con esmero el Local modestisimo de comienzo en 1888,,,,B/N;Vertical,(Solo digital),,,,,,,,,,,,,,,,,,,,,,,,,,ohcfh_cfs_000001050.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
